YR,MO,NUM_CHECKOUT_A
2006,2,1
2006,5,1
2006,6,1
2006,10,1
2007,12,1
2008,12,1
2009,8,1
2010,1,1
2014,11,3
2014,12,1
2015,1,1
2015,2,1
2015,3,1
2015,4,1
2015,5,2
2015,6,1
2015,7,2
2015,9,2
2015,11,2
2015,12,1
2016,1,1
2016,2,2
2016,3,2
2016,6,3
2016,8,2
2016,11,3
2017,1,2
2017,2,2
2017,4,1
2017,5,1
2017,6,4
2017,7,7
2017,8,4
2017,9,1
2017,10,7
2017,11,6
2017,12,10
2018,3,9
2018,4,28
2018,5,32
2018,6,41
2018,7,35
2018,8,24
2018,9,9
2018,10,37
2018,11,31
2018,12,39
2019,1,34
2019,2,36
2019,3,40
2019,4,38
2019,5,32
2019,6,72
2019,7,58
2019,8,53
2019,9,28
2019,10,27
2019,11,33
2019,12,31
2020,1,33
2020,2,23
2020,3,26
2020,8,2
2020,9,5
2020,10,18
2020,11,11
2020,12,13
2021,1,24
2021,2,20
2021,3,24
2021,4,29
2021,5,20
2021,6,34
2021,7,40
2021,8,41
2021,9,26
2021,10,33
2021,11,54
2021,12,41
2022,1,42
2022,2,37
2022,3,79
2022,4,77
2022,5,83
2022,6,122
2022,7,126
2022,8,203
2022,9,177
2022,10,7
2022,11,29
2022,12,149
2023,1,126
