YR,MO,NUM_CHECKOUT_B
2006,1,79
2006,2,97
2006,3,100
2006,4,69
2006,5,68
2006,6,120
2006,7,122
2006,8,120
2006,9,97
2006,10,107
2006,11,113
2006,12,79
2007,1,33
2007,2,39
2007,3,127
2007,4,101
2007,5,109
2007,6,106
2007,7,129
2007,8,149
2007,9,188
2007,10,93
2007,11,133
2007,12,144
2008,1,164
2008,2,238
2008,3,250
2008,4,256
2008,5,300
2008,6,308
2008,7,372
2008,8,339
2008,9,306
2008,10,420
2008,11,318
2008,12,429
2009,1,517
2009,2,408
2009,3,480
2009,4,424
2009,5,475
2009,6,461
2009,7,431
2009,8,506
2009,9,296
2009,10,461
2009,11,432
2009,12,400
2010,1,395
2010,2,356
2010,3,440
2010,4,366
2010,5,359
2010,6,351
2010,7,355
2010,8,294
2010,9,237
2010,10,294
2010,11,295
2010,12,338
2011,1,342
2011,2,290
2011,3,326
2011,4,290
2011,5,283
2011,6,336
2011,7,294
2011,8,261
2011,9,224
2011,10,232
2011,11,218
2011,12,220
2012,1,177
2012,2,174
2012,3,181
2012,4,192
2012,5,219
2012,6,300
2012,7,328
2012,8,280
2012,9,243
2012,10,261
2012,11,301
2012,12,261
2013,1,235
2013,2,216
2013,3,219
2013,4,177
2013,5,205
2013,6,206
2013,7,177
2013,8,172
2013,9,177
2013,10,166
2013,11,148
2013,12,124
2014,1,134
2014,2,149
2014,3,131
2014,4,147
2014,5,129
2014,6,125
2014,7,131
2014,8,118
2014,9,98
2014,10,116
2014,11,109
2014,12,121
2015,1,124
2015,2,110
2015,3,93
2015,4,120
2015,5,127
2015,6,140
2015,7,161
2015,8,150
2015,9,156
2015,10,114
2015,11,118
2015,12,123
2016,1,107
2016,2,139
2016,3,98
2016,4,110
2016,5,101
2016,6,119
2016,7,95
2016,8,112
2016,9,116
2016,10,110
2016,11,101
2016,12,85
2017,1,97
2017,2,56
2017,3,117
2017,4,89
2017,5,109
2017,6,131
2017,7,153
2017,8,181
2017,9,189
2017,10,167
2017,11,134
2017,12,154
2018,3,43
2018,4,182
2018,5,203
2018,6,262
2018,7,231
2018,8,172
2018,9,44
2018,10,179
2018,11,212
2018,12,195
2019,1,185
2019,2,180
2019,3,164
2019,4,184
2019,5,210
2019,6,222
2019,7,238
2019,8,226
2019,9,124
2019,10,148
2019,11,126
2019,12,134
2020,1,124
2020,2,80
2020,3,160
2020,8,8
2020,9,27
2020,10,61
2020,11,70
2020,12,72
2021,1,83
2021,2,92
2021,3,67
2021,4,110
2021,5,92
2021,6,144
2021,7,252
2021,8,188
2021,9,157
2021,10,194
2021,11,227
2021,12,185
2022,1,233
2022,2,190
2022,3,203
2022,4,219
2022,5,271
2022,6,448
2022,7,420
2022,8,409
2022,9,420
2022,10,8
2022,11,72
2022,12,397
2023,1,318
