YR,MO,NUM_CHECKOUT_H
2006,1,446
2006,2,564
2006,3,699
2006,4,528
2006,5,539
2006,6,779
2006,7,677
2006,8,781
2006,9,615
2006,10,729
2006,11,652
2006,12,618
2007,1,286
2007,2,329
2007,3,649
2007,4,659
2007,5,586
2007,6,560
2007,7,790
2007,8,691
2007,9,727
2007,10,456
2007,11,675
2007,12,633
2008,1,762
2008,2,691
2008,3,801
2008,4,724
2008,5,737
2008,6,854
2008,7,990
2008,8,875
2008,9,863
2008,10,874
2008,11,698
2008,12,901
2009,1,937
2009,2,850
2009,3,918
2009,4,750
2009,5,830
2009,6,1018
2009,7,981
2009,8,969
2009,9,735
2009,10,878
2009,11,887
2009,12,822
2010,1,833
2010,2,738
2010,3,831
2010,4,817
2010,5,799
2010,6,841
2010,7,869
2010,8,851
2010,9,636
2010,10,795
2010,11,762
2010,12,767
2011,1,833
2011,2,724
2011,3,785
2011,4,826
2011,5,811
2011,6,940
2011,7,857
2011,8,784
2011,9,618
2011,10,703
2011,11,620
2011,12,621
2012,1,606
2012,2,625
2012,3,684
2012,4,642
2012,5,676
2012,6,684
2012,7,797
2012,8,584
2012,9,524
2012,10,626
2012,11,580
2012,12,552
2013,1,674
2013,2,645
2013,3,651
2013,4,623
2013,5,564
2013,6,758
2013,7,733
2013,8,687
2013,9,660
2013,10,634
2013,11,555
2013,12,529
2014,1,586
2014,2,489
2014,3,530
2014,4,477
2014,5,585
2014,6,774
2014,7,722
2014,8,791
2014,9,696
2014,10,680
2014,11,691
2014,12,556
2015,1,553
2015,2,486
2015,3,592
2015,4,546
2015,5,513
2015,6,537
2015,7,645
2015,8,539
2015,9,539
2015,10,524
2015,11,516
2015,12,467
2016,1,592
2016,2,475
2016,3,458
2016,4,434
2016,5,475
2016,6,637
2016,7,524
2016,8,518
2016,9,471
2016,10,471
2016,11,447
2016,12,421
2017,1,414
2017,2,287
2017,3,456
2017,4,400
2017,5,398
2017,6,465
2017,7,494
2017,8,459
2017,9,447
2017,10,420
2017,11,352
2017,12,314
2018,3,168
2018,4,456
2018,5,407
2018,6,538
2018,7,465
2018,8,282
2018,9,78
2018,10,416
2018,11,371
2018,12,337
2019,1,387
2019,2,390
2019,3,432
2019,4,433
2019,5,473
2019,6,602
2019,7,468
2019,8,416
2019,9,434
2019,10,409
2019,11,396
2019,12,346
2020,1,394
2020,2,328
2020,3,228
2020,8,6
2020,9,61
2020,10,109
2020,11,75
2020,12,120
2021,1,138
2021,2,126
2021,3,157
2021,4,148
2021,5,134
2021,6,260
2021,7,218
2021,8,252
2021,9,275
2021,10,255
2021,11,263
2021,12,160
2022,1,269
2022,2,222
2022,3,254
2022,4,252
2022,5,242
2022,6,378
2022,7,243
2022,8,265
2022,9,273
2022,10,4
2022,11,64
2022,12,230
2023,1,168
