YR,MO,NUM_CHECKOUT_I
2006,1,7
2006,2,7
2006,3,7
2006,4,2
2006,5,1
2006,6,1
2006,7,3
2006,8,12
2006,9,2
2006,10,9
2006,11,8
2006,12,2
2007,1,2
2007,2,2
2007,3,8
2007,4,1
2007,5,20
2007,6,34
2007,7,40
2007,8,64
2007,9,67
2007,10,42
2007,11,68
2007,12,59
2008,1,69
2008,2,52
2008,3,72
2008,4,88
2008,5,71
2008,6,55
2008,7,60
2008,8,103
2008,9,142
2008,10,107
2008,11,85
2008,12,103
2009,1,159
2009,2,104
2009,3,129
2009,4,102
2009,5,120
2009,6,113
2009,7,130
2009,8,152
2009,9,104
2009,10,141
2009,11,117
2009,12,149
2010,1,130
2010,2,72
2010,3,97
2010,4,89
2010,5,75
2010,6,112
2010,7,80
2010,8,109
2010,9,85
2010,10,95
2010,11,89
2010,12,102
2011,1,123
2011,2,89
2011,3,102
2011,4,128
2011,5,110
2011,6,100
2011,7,88
2011,8,91
2011,9,68
2011,10,108
2011,11,97
2011,12,96
2012,1,88
2012,2,76
2012,3,75
2012,4,60
2012,5,68
2012,6,69
2012,7,66
2012,8,50
2012,9,51
2012,10,58
2012,11,46
2012,12,62
2013,1,50
2013,2,54
2013,3,49
2013,4,37
2013,5,34
2013,6,71
2013,7,77
2013,8,61
2013,9,56
2013,10,58
2013,11,41
2013,12,64
2014,1,41
2014,2,40
2014,3,42
2014,4,36
2014,5,27
2014,6,23
2014,7,21
2014,8,22
2014,9,45
2014,10,47
2014,11,28
2014,12,54
2015,1,41
2015,2,35
2015,3,47
2015,4,31
2015,5,31
2015,6,49
2015,7,42
2015,8,25
2015,9,39
2015,10,18
2015,11,33
2015,12,29
2016,1,22
2016,2,24
2016,3,39
2016,4,29
2016,5,29
2016,6,42
2016,7,25
2016,8,34
2016,9,24
2016,10,23
2016,11,19
2016,12,31
2017,1,27
2017,2,17
2017,3,47
2017,4,44
2017,5,41
2017,6,29
2017,7,29
2017,8,23
2017,9,34
2017,10,66
2017,11,62
2017,12,47
2018,3,23
2018,4,28
2018,5,28
2018,6,38
2018,7,30
2018,8,27
2018,9,5
2018,10,35
2018,11,37
2018,12,28
2019,1,23
2019,2,18
2019,3,20
2019,4,33
2019,5,31
2019,6,48
2019,7,21
2019,8,29
2019,9,24
2019,10,25
2019,11,13
2019,12,22
2020,1,26
2020,2,26
2020,3,15
2020,9,4
2020,10,11
2020,11,4
2020,12,8
2021,1,6
2021,2,16
2021,3,7
2021,4,9
2021,5,11
2021,6,13
2021,7,11
2021,8,12
2021,9,16
2021,10,12
2021,11,12
2021,12,11
2022,1,32
2022,2,12
2022,3,22
2022,4,5
2022,5,13
2022,6,31
2022,7,23
2022,8,25
2022,9,16
2022,11,2
2022,12,4
2023,1,10
