YR,MO,NUM_CHECKOUT_Q
2006,5,1
2006,6,2
2006,7,1
2006,9,1
2006,10,2
2007,2,1
2007,4,1
2007,5,1
2007,6,1
2007,7,1
2007,8,1
2007,9,2
2007,11,1
2007,12,1
2008,1,1
2008,3,3
2008,4,1
2008,11,1
2008,12,1
2009,1,1
2009,2,2
2009,4,1
2009,5,1
2009,12,1
2010,1,3
2010,2,1
2010,4,1
2010,5,2
2010,6,1
2010,7,1
2010,8,1
2010,9,1
2010,10,2
2010,11,1
2011,1,1
2011,2,2
2011,3,1
2011,4,1
2011,5,1
2011,6,3
2011,7,7
2011,8,7
2011,9,9
2011,10,3
2011,11,8
2011,12,5
2012,1,3
2012,2,3
2012,3,5
2012,4,14
2012,5,12
2012,6,11
2012,7,2
2012,8,14
2012,9,3
2012,10,7
2012,11,10
2012,12,6
2013,1,6
2013,2,7
2013,3,8
2013,4,7
2013,5,12
2013,6,11
2013,7,10
2013,8,12
2013,9,5
2013,10,6
2013,11,6
2013,12,9
2014,1,9
2014,2,7
2014,3,11
2014,4,9
2014,5,8
2014,6,5
2014,7,6
2014,8,5
2014,9,9
2014,10,5
2014,11,7
2014,12,5
2015,1,8
2015,2,3
2015,3,1
2015,4,8
2015,5,10
2015,6,6
2015,7,13
2015,8,4
2015,9,7
2015,10,5
2015,11,5
2015,12,7
2016,1,7
2016,2,9
2016,3,6
2016,4,9
2016,5,11
2016,6,15
2016,7,7
2016,8,6
2016,9,20
2016,10,17
2016,11,11
2016,12,15
2017,1,13
2017,2,6
2017,3,22
2017,4,11
2017,5,16
2017,6,18
2017,7,13
2017,8,19
2017,9,19
2017,10,14
2017,11,11
2017,12,5
2018,3,4
2018,4,12
2018,5,21
2018,6,18
2018,7,22
2018,8,16
2018,9,4
2018,10,6
2018,11,14
2018,12,17
2019,1,17
2019,2,15
2019,3,17
2019,4,17
2019,5,27
2019,6,40
2019,7,29
2019,8,29
2019,9,15
2019,10,33
2019,11,31
2019,12,18
2020,1,19
2020,2,20
2020,3,12
2020,8,1
2020,9,3
2020,10,4
2020,11,6
2020,12,16
2021,1,18
2021,2,29
2021,3,20
2021,4,21
2021,5,24
2021,6,43
2021,7,68
2021,8,52
2021,9,58
2021,10,175
2021,11,246
2021,12,183
2022,1,204
2022,2,159
2022,3,124
2022,4,141
2022,5,154
2022,6,183
2022,7,199
2022,8,204
2022,9,163
2022,10,8
2022,11,58
2022,12,165
2023,1,141
